arm,size,seed,precision,conf,frozen,micro_f1,recall,count_mae_pct,net_bias_pct,provenance
base,320,0,int8,0.3,0,0.0,0.0,1921.57,1921.57,nntool-sq8-ne16(unknown)
base,320,0,int8,0.35,0,0.0,0.0,1595.51,1595.51,nntool-sq8-ne16(unknown)
base,320,0,int8,0.4,1,0.0,0.0,1348.67,1348.67,nntool-sq8-ne16(unknown)
base,320,0,int8,0.45,0,0.0,0.0,1128.4,1128.4,nntool-sq8-ne16(unknown)
base,320,0,int8,0.5,0,0.0,0.0,912.35,912.35,nntool-sq8-ne16(unknown)
base,320,0,int8,0.55,0,0.0,0.0,738.9,738.62,nntool-sq8-ne16(unknown)
base,320,0,int8,0.6,0,0.0,0.0,566.56,565.67,nntool-sq8-ne16(unknown)
base,320,0,int8,0.65,0,0.0,0.0,398.41,397.07,nntool-sq8-ne16(unknown)
base,320,0,int8,0.7,0,0.0,0.0,245.52,235.4,nntool-sq8-ne16(unknown)
base,320,0,int8,0.75,0,0.0,0.0,117.7,77.4,nntool-sq8-ne16(unknown)
base,320,0,int8,0.8,0,0.0,0.0,63.73,-52.99,nntool-sq8-ne16(unknown)
base,320,0,int8,0.85,0,0.0,0.0,94.37,-94.37,nntool-sq8-ne16(unknown)
base,320,0,int8,0.9,0,0.0,0.0,99.66,-99.66,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.05,0,0.3459,0.9168,330.17,330.17,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.1,0,0.4802,0.905,176.93,176.93,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.15,0,0.5619,0.8952,118.64,118.64,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.2,0,0.6213,0.8856,85.06,85.06,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.25,0,0.6692,0.8776,62.27,62.27,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.3,0,0.7065,0.8661,45.28,45.17,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.35,0,0.734,0.8539,32.86,32.65,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.4,1,0.7546,0.8386,23.44,22.28,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.45,0,0.7709,0.8213,18.37,13.09,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.5,0,0.7817,0.8007,14.83,4.85,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.55,0,0.783,0.7678,14.85,-3.88,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.6,0,0.7822,0.7328,15.16,-12.62,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.65,0,0.7603,0.6731,22.93,-22.93,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.7,0,0.7048,0.5773,36.2,-36.2,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.75,0,0.5771,0.4181,55.1,-55.1,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.8,0,0.3049,0.1814,80.96,-80.96,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.85,0,0.0377,0.0192,98.04,-98.04,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.9,0,0.0017,0.0009,99.91,-99.91,nntool-sq8-ne16(unknown)
base,320,0,int8,0.05,0,0.3061,0.9098,394.44,394.44,nntool-sq8-ne16(unknown)
base,320,0,int8,0.1,0,0.4433,0.8981,205.18,205.18,nntool-sq8-ne16(unknown)
base,320,0,int8,0.15,0,0.5271,0.8875,136.77,136.77,nntool-sq8-ne16(unknown)
base,320,0,int8,0.2,0,0.5943,0.8784,95.68,95.61,nntool-sq8-ne16(unknown)
base,320,0,int8,0.25,0,0.6445,0.8676,69.42,69.25,nntool-sq8-ne16(unknown)
base,320,0,int8,0.3,0,0.6831,0.8573,51.31,51.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.35,0,0.7142,0.8443,36.84,36.43,nntool-sq8-ne16(unknown)
base,320,0,int8,0.4,1,0.7373,0.8302,29.02,25.21,nntool-sq8-ne16(unknown)
base,320,0,int8,0.45,0,0.7554,0.811,22.86,14.73,nntool-sq8-ne16(unknown)
base,320,0,int8,0.5,0,0.7694,0.7894,17.99,5.2,nntool-sq8-ne16(unknown)
base,320,0,int8,0.55,0,0.7707,0.7563,17.6,-3.74,nntool-sq8-ne16(unknown)
base,320,0,int8,0.6,0,0.7695,0.722,18.18,-12.35,nntool-sq8-ne16(unknown)
base,320,0,int8,0.65,0,0.7539,0.6671,24.59,-23.01,nntool-sq8-ne16(unknown)
base,320,0,int8,0.7,0,0.6937,0.5663,36.73,-36.73,nntool-sq8-ne16(unknown)
base,320,0,int8,0.75,0,0.5819,0.4251,53.87,-53.87,nntool-sq8-ne16(unknown)
base,320,0,int8,0.8,0,0.3381,0.2053,78.56,-78.56,nntool-sq8-ne16(unknown)
base,320,0,int8,0.85,0,0.0553,0.0285,97.12,-97.12,nntool-sq8-ne16(unknown)
base,320,0,int8,0.9,0,0.0051,0.0026,99.73,-99.73,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.05,0,0.3459,0.9168,330.17,330.17,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.1,0,0.4802,0.905,176.93,176.93,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.15,0,0.5619,0.8952,118.64,118.64,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.2,0,0.6213,0.8856,85.06,85.06,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.25,0,0.6692,0.8776,62.27,62.27,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.3,0,0.7065,0.8661,45.28,45.17,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.35,0,0.734,0.8539,32.86,32.65,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.4,1,0.7546,0.8386,23.44,22.28,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.45,0,0.7709,0.8213,18.37,13.09,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.5,0,0.7817,0.8007,14.83,4.85,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.55,0,0.783,0.7678,14.85,-3.88,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.6,0,0.7822,0.7328,15.16,-12.62,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.65,0,0.7603,0.6731,22.93,-22.93,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.7,0,0.7048,0.5773,36.2,-36.2,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.75,0,0.5771,0.4181,55.1,-55.1,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.8,0,0.3049,0.1814,80.96,-80.96,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.85,0,0.0377,0.0192,98.04,-98.04,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.9,0,0.0017,0.0009,99.91,-99.91,nntool-sq8-ne16(unknown)
base,320,0,int8,0.05,0,0.2746,0.9155,466.64,466.64,nntool-sq8-ne16(unknown)
base,320,0,int8,0.1,0,0.3974,0.9043,255.1,255.1,nntool-sq8-ne16(unknown)
base,320,0,int8,0.15,0,0.4863,0.8944,167.88,167.81,nntool-sq8-ne16(unknown)
base,320,0,int8,0.2,0,0.5497,0.8868,122.76,122.65,nntool-sq8-ne16(unknown)
base,320,0,int8,0.25,0,0.6037,0.8758,90.31,90.14,nntool-sq8-ne16(unknown)
base,320,0,int8,0.3,0,0.6479,0.8678,68.48,67.86,nntool-sq8-ne16(unknown)
base,320,0,int8,0.35,0,0.6845,0.858,51.72,50.69,nntool-sq8-ne16(unknown)
base,320,0,int8,0.4,1,0.7169,0.8438,37.59,35.4,nntool-sq8-ne16(unknown)
base,320,0,int8,0.45,0,0.739,0.8282,30.78,24.13,nntool-sq8-ne16(unknown)
base,320,0,int8,0.5,0,0.7604,0.8066,22.4,12.14,nntool-sq8-ne16(unknown)
base,320,0,int8,0.55,0,0.7682,0.7781,19.1,2.57,nntool-sq8-ne16(unknown)
base,320,0,int8,0.6,0,0.7713,0.7452,18.49,-6.79,nntool-sq8-ne16(unknown)
base,320,0,int8,0.65,0,0.7618,0.6971,18.9,-16.98,nntool-sq8-ne16(unknown)
base,320,0,int8,0.7,0,0.7251,0.6162,30.03,-30.03,nntool-sq8-ne16(unknown)
